Title,,Year,Rating,,,Available On,,
New Amsterdam,TV,2018,16+,8.1/10,76/100,+ Rent or Buy,52 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
My Hero Academia,TV,2016,16+,8.5/10,90/100,+ Rent or Buy,84 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Freaks and Geeks,TV,1999,16+,8.8/10,87/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Community,TV,2009,7+,8.5/10,90/100,+ Rent or Buy,6 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Endeavour,TV,2013,16+,8.6/10,80/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Highlander: The Series,TV,1992,16+,7.2/10,66/100,+ Rent or Buy,121 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Firefly,TV,2002,16+,9.0/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Survivor,TV,2000,7+,7.2/10,73/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Loudermilk,TV,2017,18+,7.7/10,74/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Black Monday,TV,2019,18+,7.5/10,69/100,+ Rent or Buy,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
DC's Legends of Tomorrow,TV,2016,16+,6.8/10,81/100,+ Rent or Buy,9 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Chernobyl,TV,2019,18+,9.4/10,95/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Tales from the Crypt,TV,1989,18+,8.0/10,80/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Killing Eve,TV,2018,16+,8.2/10,86/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Happy Valley,TV,2014,16+,8.4/10,80/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
New Girl,TV,2011,16+,7.7/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Suits,TV,2011,16+,8.4/10,89/100,+ Rent or Buy,133 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Star Wars: The Clone Wars,TV,2008,7+,8.3/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Kominsky Method,TV,2018,18+,8.2/10,79/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Sons of Sam: A Descent Into Darkness,TV,2021,18+,7.0/10,68/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Twilight Zone,TV,1959,7+,9.0/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Shrill,TV,2019,18+,7.4/10,75/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Home Improvement,TV,1991,7+,7.2/10,68/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Undoing,TV,2020,18+,7.4/10,79/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
One Piece,TV,1999,7+,8.8/10,85/100,+ Rent or Buy,783 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Animal Kingdom,TV,2016,18+,8.2/10,75/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
I Love Lucy,TV,1951,all,8.4/10,73/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
90 Day Fiancé,TV,2014,16+,6.4/10,63/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Breeders,TV,2020,18+,7.4/10,73/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Anthony Bourdain: Parts Unknown,TV,2013,7+,8.8/10,70/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Battlestar Galactica,TV,2003,16+,8.6/10,71/100,,2 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Why Women Kill,TV,2019,18+,8.4/10,77/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Queen of Meth,TV,2021,18+,5.1/10,50/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Pretty Little Liars,TV,2010,16+,7.4/10,83/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Tom Clancy's Jack Ryan,TV,2018,18+,8.1/10,84/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
1971: The Year That Music Changed Everything,TV,2021,N/A,7.5/10,55/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Pushing Daisies,TV,2007,7+,8.3/10,82/100,+ Rent or Buy,22 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Creepshow,TV,2019,18+,7.1/10,67/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Cowboy Bebop,TV,1998,18+,8.9/10,80/100,+ Rent or Buy,26 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Upshaws,TV,2021,16+,6.8/10,61/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Avatar: The Last Airbender,TV,2005,7+,9.3/10,94/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Harley Quinn,TV,2019,18+,8.5/10,80/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Equalizer,TV,2021,16+,4.7/10,66/100,+ Rent or Buy,9 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Euphoria,TV,2019,18+,8.4/10,81/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Doctor Who,TV,1963,7+,8.4/10,79/100,+ Rent or Buy,55 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Selena: The Series,TV,2020,7+,6.8/10,63/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Mystery Science Theater 3000,TV,1988,7+,8.5/10,78/100,+ Rent or Buy,76 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
